# gpu: NVIDIA GeForce RTX 4060 Ti
# dtype: fp32
# batch: 1, heads: 8, head_dim: 64
# date: 2026-03-15T01:52:45.358500
# torch: 2.10.0+cu128, cuda: 12.8
batch,heads,seq_len,head_dim,naive_ms,flash_ms,speedup,naive_mem_mb,flash_mem_mb,mem_save
1,8,128,64,0.2408,0.2568,0.94,12.6,10.1,1.25
1,8,256,64,0.4256,0.5218,0.82,21.6,12.1,1.78
1,8,512,64,0.8431,1.7517,0.48,55.2,16.2,3.41
1,8,1024,64,2.3759,5.5859,0.43,182.2,24.2,7.53
1,8,2048,64,8.7898,17.9624,0.49,676.2,40.2,16.80
1,8,4096,64,34.6181,69.4969,0.50,2624.4,72.4,36.26
